batch_id,selected_request_id,origin,destination,max_wait,Transportation_min,Joby_min,Transportation_Joby_time_saving,pending_count,final_drop_penalty,assigned_vehicle,pickup_time,pickup_time_hhmm,delivery_time,delivery_time_hhmm,final_status
B1,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
B2,R2,1,10,5,61,16,45,1,1472400,0.0,22.0,06:02,40.0,06:20,Complete
B3,R3,6,2,5,92,13,79,1,1808500,5.0,23.0,06:03,39.0,06:19,Complete
B4,,10,4,5,66,14,52,2,1543900,,,,,,Overdue
B5,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
B6,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
B7,,10,4,5,66,14,52,2,1543900,,,,,,Overdue
B8,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
B9,R9,2,10,5,106,18,88,0,1886900,1.0,31.0,06:11,52.0,06:32,Complete
B10,,6,7,5,77,15,62,1,1642300,,,,,,Overdue
B11,,10,4,5,66,14,52,1,1533900,,,,,,Overdue
B12,,1,10,5,61,16,45,1,1472400,,,,,,Overdue
B13,,3,10,6,83,17,66,1,1672800,,,,,,Overdue
B14,,10,3,7,83,17,66,1,1671800,,,,,,Overdue
B15,,1,10,5,61,15,46,1,1472400,,,,,,Overdue
B16,,6,2,5,92,13,79,1,1808500,,,,,,Overdue
B17,,6,7,5,77,15,62,1,1642300,,,,,,Overdue
B18,,10,3,7,83,17,66,1,1671800,,,,,,Overdue
B19,R19,4,9,5,124,17,107,0,2072400,3.0,39.0,06:19,59.0,06:39,Complete
B20,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
B21,,10,4,5,66,14,52,1,1533900,,,,,,Overdue
B22,R22,7,10,5,108,18,90,1,1916100,6.0,41.0,06:21,62.0,06:42,Complete
B23,,9,3,4,121,17,104,2,2070100,,,,,,Overdue
B24,,1,10,5,61,15,46,2,1482400,,,,,,Overdue
B25,,2,6,4,92,13,79,2,1819500,,,,,,Overdue
B26,,4,9,5,124,18,106,2,2092400,,,,,,Overdue
B27,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
B28,R28,3,10,6,83,17,66,1,1672800,2.0,47.0,06:27,67.0,06:47,Complete
B29,R29,5,9,5,138,19,119,1,2206000,4.0,47.0,06:27,69.0,06:49,Complete
B30,R30,5,9,5,138,19,119,0,2196000,5.0,52.0,06:32,74.0,06:54,Complete
B31,,10,3,7,83,17,66,1,1671800,,,,,,Overdue
B32,,1,10,5,61,15,46,1,1472400,,,,,,Overdue
B33,,1,10,5,61,16,45,1,1472400,,,,,,Overdue
B34,R34,6,9,5,146,22,124,0,2244100,0.0,56.0,06:36,81.0,07:01,Complete
B35,,6,2,5,92,13,79,1,1808500,,,,,,Overdue
B36,,1,10,5,61,15,46,1,1472400,,,,,,Overdue
B37,,1,10,5,61,16,45,1,1472400,,,,,,Overdue
B38,,6,7,5,77,14,63,1,1642300,,,,,,Overdue
B39,,4,9,5,124,18,106,2,2092400,,,,,,Overdue
B40,,4,10,4,68,14,54,1,1554900,,,,,,Overdue
B41,R41,10,3,7,83,17,66,1,1671800,1.0,60.0,06:40,80.0,07:00,Complete
B42,,6,2,5,92,13,79,2,1818500,,,,,,Overdue
B43,,4,9,5,124,17,107,2,2092400,,,,,,Overdue
B44,,1,10,5,61,15,46,2,1482400,,,,,,Overdue
B45,,10,4,5,66,14,52,2,1543900,,,,,,Overdue
B46,,4,9,5,124,17,107,2,2092400,,,,,,Overdue
B47,,10,3,7,83,17,66,2,1681800,,,,,,Overdue
B48,,1,10,5,61,16,45,2,1482400,,,,,,Overdue
B49,,6,7,5,77,14,63,1,1642300,,,,,,Overdue
B50,,1,10,5,61,15,46,1,1472400,,,,,,Overdue
B51,R51,10,2,6,94,18,76,0,1765900,2.0,74.0,06:54,95.0,07:15,Complete
B52,R52,10,3,7,83,17,66,0,1661800,6.0,74.0,06:54,97.0,07:17,Complete
B53,R53,10,3,7,83,17,66,0,1661800,7.0,79.0,06:59,99.0,07:19,Complete
B54,,1,10,5,61,16,45,1,1472400,,,,,,Overdue
B55,,4,9,5,124,18,106,1,2082400,,,,,,Overdue
B56,R56,10,3,7,83,17,66,0,1661800,6.0,77.0,06:57,100.0,07:20,Complete
B57,,4,9,5,124,17,107,1,2082400,,,,,,Overdue
B58,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B59,,2,4,4,54,8,46,1,1481700,,,,,,Overdue
B60,,5,7,5,63,12,51,1,1530500,,,,,,Overdue
B61,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B62,,6,7,6,77,15,62,2,1651300,,,,,,Overdue
B63,,7,4,4,57,9,48,1,1498500,,,,,,Overdue
B64,,6,1,5,23,9,14,2,1162600,,,,,,Overdue
B65,R65,9,6,5,147,22,125,1,2264100,3.0,87.0,07:07,112.0,07:32,Complete
B66,,6,1,5,23,9,14,2,1162600,,,,,,Overdue
B67,,3,5,8,50,10,40,1,1418200,,,,,,Overdue
B68,,5,7,5,63,12,51,1,1530500,,,,,,Overdue
B69,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B70,,6,3,5,81,12,69,1,1708600,,,,,,Overdue
B71,,9,6,5,147,22,125,1,2264100,,,,,,Overdue
B72,R72,2,5,8,59,11,48,0,1489100,2.0,98.0,07:18,111.0,07:31,Complete
B73,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B74,,6,9,7,146,22,124,2,2262100,,,,,,Overdue
B75,R75,9,6,5,147,22,125,0,2254100,5.0,98.0,07:18,123.0,07:43,Complete
B76,,10,9,6,171,21,150,2,2525300,,,,,,Overdue
B77,R77,3,8,4,57,12,45,1,1464100,1.0,100.0,07:20,115.0,07:35,Complete
B78,,8,3,5,57,12,45,2,1473100,,,,,,Overdue
B79,R79,3,8,4,57,12,45,1,1464100,6.0,104.0,07:24,119.0,07:39,Complete
B80,,6,7,6,77,14,63,2,1651300,,,,,,Overdue
B81,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B82,,8,2,5,28,12,16,2,1190100,,,,,,Overdue
B83,R83,2,4,4,54,8,46,1,1481700,7.0,107.0,07:27,118.0,07:38,Complete
B84,,6,9,7,146,22,124,2,2262100,,,,,,Overdue
B85,R85,9,6,5,147,22,125,1,2264100,4.0,107.0,07:27,132.0,07:52,Complete
B86,,8,2,5,28,12,16,2,1190100,,,,,,Overdue
B87,,6,7,6,77,15,62,2,1651300,,,,,,Overdue
B88,,8,4,5,76,13,63,2,1652200,,,,,,Overdue
B89,,8,2,5,28,12,16,1,1180100,,,,,,Overdue
B90,,10,9,6,171,21,150,1,2515300,,,,,,Overdue
B91,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B92,,9,6,5,147,22,125,1,2264100,,,,,,Overdue
B93,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B94,,6,3,5,81,12,69,1,1708600,,,,,,Overdue
B95,R95,6,2,5,92,13,79,0,1798500,3.0,115.0,07:35,131.0,07:51,Complete
B96,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B97,,3,8,4,57,12,45,1,1464100,,,,,,Overdue
B98,R98,5,2,5,61,11,50,1,1522100,2.0,120.0,07:40,133.0,07:53,Complete
B99,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B100,,5,7,5,63,12,51,1,1530500,,,,,,Overdue
B101,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B102,,4,10,4,68,14,54,1,1554900,,,,,,Overdue
B103,,10,9,6,171,21,150,2,2525300,,,,,,Overdue
B104,,3,8,4,57,12,45,1,1464100,,,,,,Overdue
B105,R105,9,6,5,147,22,125,1,2264100,0.0,121.0,07:41,146.0,08:06,Complete
B106,,6,3,5,81,12,69,1,1708600,,,,,,Overdue
B107,,6,7,6,77,14,63,2,1651300,,,,,,Overdue
B108,,10,9,6,171,21,150,2,2525300,,,,,,Overdue
B109,,5,7,5,63,12,51,2,1540500,,,,,,Overdue
B110,,6,1,5,23,9,14,2,1162600,,,,,,Overdue
B111,,6,3,5,81,12,69,2,1718600,,,,,,Overdue
B112,,6,9,7,146,22,124,2,2262100,,,,,,Overdue
B113,,3,8,4,57,12,45,2,1474100,,,,,,Overdue
B114,R114,9,6,5,147,22,125,1,2264100,1.0,128.0,07:48,153.0,08:13,Complete
B115,,3,8,4,57,12,45,2,1474100,,,,,,Overdue
B116,,9,6,5,147,22,125,2,2274100,,,,,,Overdue
B117,,2,4,4,54,8,46,2,1491700,,,,,,Overdue
B118,,6,1,5,23,9,14,2,1162600,,,,,,Overdue
B119,R119,6,3,5,81,12,69,1,1708600,5.0,130.0,07:50,145.0,08:05,Complete
B120,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B121,,3,6,4,83,12,71,1,1729600,,,,,,Overdue
B122,,10,9,6,171,21,150,2,2525300,,,,,,Overdue
B123,,7,4,4,57,9,48,1,1498500,,,,,,Overdue
B124,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B125,R125,3,9,4,122,17,105,0,2060100,3.0,139.0,07:59,159.0,08:19,Complete
B126,,2,5,8,59,11,48,1,1499100,,,,,,Overdue
B127,,3,4,5,45,9,36,1,1379400,,,,,,Overdue
B128,,5,3,6,50,10,40,1,1420200,,,,,,Overdue
B129,R129,8,1,6,83,14,69,1,1707400,6.0,140.0,08:00,157.0,08:17,Complete
B130,,2,4,5,54,8,46,1,1480700,,,,,,Overdue
B131,,3,9,5,122,17,105,2,2079100,,,,,,Overdue
B132,R132,6,3,5,81,12,69,1,1708600,4.0,141.0,08:01,156.0,08:16,Complete
B133,,7,1,5,56,9,47,1,1488500,,,,,,Overdue
B134,,2,4,5,54,8,46,1,1480700,,,,,,Overdue
B135,,5,3,6,50,10,40,1,1420200,,,,,,Overdue
B136,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B137,,7,1,5,56,9,47,1,1488500,,,,,,Overdue
B138,,8,5,6,81,16,65,2,1680600,,,,,,Overdue
B139,,9,1,8,114,18,96,2,1983700,,,,,,Overdue
B140,,9,7,5,95,14,81,2,1840700,,,,,,Overdue
B141,,3,4,5,45,9,36,1,1379400,,,,,,Overdue
B142,,5,3,6,50,10,40,1,1420200,,,,,,Overdue
B143,,6,1,5,23,9,14,1,1152600,,,,,,Overdue
B144,,7,6,6,78,15,63,2,1661300,,,,,,Overdue
B145,,8,3,6,57,12,45,2,1472100,,,,,,Overdue
B146,,9,7,5,95,14,81,2,1840700,,,,,,Overdue
