target,seed,파일명,총인원,레코드,OD쌍
100,1,d100_s01.csv,100,100,38
100,2,d100_s02.csv,100,100,36
100,3,d100_s03.csv,100,100,40
100,4,d100_s04.csv,100,100,39
100,5,d100_s05.csv,100,99,35
100,6,d100_s06.csv,100,99,40
100,7,d100_s07.csv,100,100,42
100,8,d100_s08.csv,100,100,41
100,9,d100_s09.csv,100,100,45
100,10,d100_s10.csv,100,100,38
100,11,d100_s11.csv,100,100,40
100,12,d100_s12.csv,100,100,40
100,13,d100_s13.csv,100,99,42
100,14,d100_s14.csv,100,100,42
100,15,d100_s15.csv,100,100,35
100,16,d100_s16.csv,100,99,42
100,17,d100_s17.csv,100,100,42
100,18,d100_s18.csv,100,99,42
100,19,d100_s19.csv,100,100,38
100,20,d100_s20.csv,100,100,39
500,1,d500_s01.csv,500,489,65
500,2,d500_s02.csv,500,491,61
500,3,d500_s03.csv,500,490,64
500,4,d500_s04.csv,500,489,59
500,5,d500_s05.csv,500,485,57
500,6,d500_s06.csv,500,491,62
500,7,d500_s07.csv,500,488,62
500,8,d500_s08.csv,500,495,63
500,9,d500_s09.csv,500,491,61
500,10,d500_s10.csv,500,491,64
500,11,d500_s11.csv,500,492,65
500,12,d500_s12.csv,500,484,65
500,13,d500_s13.csv,500,493,65
500,14,d500_s14.csv,500,486,63
500,15,d500_s15.csv,500,490,65
500,16,d500_s16.csv,500,488,64
500,17,d500_s17.csv,500,495,63
500,18,d500_s18.csv,500,485,61
500,19,d500_s19.csv,500,497,63
500,20,d500_s20.csv,500,488,65
1000,1,d1000_s01.csv,1000,966,69
1000,2,d1000_s02.csv,1000,962,70
1000,3,d1000_s03.csv,1000,967,72
1000,4,d1000_s04.csv,1000,960,69
1000,5,d1000_s05.csv,1000,963,68
1000,6,d1000_s06.csv,1000,964,69
1000,7,d1000_s07.csv,1000,960,73
1000,8,d1000_s08.csv,1000,965,70
1000,9,d1000_s09.csv,1000,963,66
1000,10,d1000_s10.csv,1000,962,64
1000,11,d1000_s11.csv,1000,964,70
1000,12,d1000_s12.csv,1000,962,70
1000,13,d1000_s13.csv,1000,970,70
1000,14,d1000_s14.csv,1000,963,70
1000,15,d1000_s15.csv,1000,970,71
1000,16,d1000_s16.csv,1000,964,71
1000,17,d1000_s17.csv,1000,974,69
1000,18,d1000_s18.csv,1000,954,71
1000,19,d1000_s19.csv,1000,964,68
1000,20,d1000_s20.csv,1000,966,69
2000,1,d2000_s01.csv,2000,1870,73
2000,2,d2000_s02.csv,2000,1860,72
2000,3,d2000_s03.csv,2000,1863,75
2000,4,d2000_s04.csv,2000,1874,73
2000,5,d2000_s05.csv,2000,1886,75
2000,6,d2000_s06.csv,2000,1867,72
2000,7,d2000_s07.csv,2000,1858,73
2000,8,d2000_s08.csv,2000,1853,72
2000,9,d2000_s09.csv,2000,1851,69
2000,10,d2000_s10.csv,2000,1855,75
2000,11,d2000_s11.csv,2000,1854,73
2000,12,d2000_s12.csv,2000,1873,74
2000,13,d2000_s13.csv,2000,1858,73
2000,14,d2000_s14.csv,2000,1856,72
2000,15,d2000_s15.csv,2000,1874,76
2000,16,d2000_s16.csv,2000,1866,73
2000,17,d2000_s17.csv,2000,1855,70
2000,18,d2000_s18.csv,2000,1857,73
2000,19,d2000_s19.csv,2000,1864,71
2000,20,d2000_s20.csv,2000,1851,71
3000,1,d3000_s01.csv,3000,2689,75
3000,2,d3000_s02.csv,3000,2707,73
3000,3,d3000_s03.csv,3000,2673,74
3000,4,d3000_s04.csv,3000,2694,76
3000,5,d3000_s05.csv,3000,2717,75
3000,6,d3000_s06.csv,3000,2733,75
3000,7,d3000_s07.csv,3000,2698,76
3000,8,d3000_s08.csv,3000,2705,75
3000,9,d3000_s09.csv,3000,2723,75
3000,10,d3000_s10.csv,3000,2690,75
3000,11,d3000_s11.csv,3000,2728,73
3000,12,d3000_s12.csv,3000,2681,76
3000,13,d3000_s13.csv,3000,2701,77
3000,14,d3000_s14.csv,3000,2676,75
3000,15,d3000_s15.csv,3000,2709,75
3000,16,d3000_s16.csv,3000,2691,75
3000,17,d3000_s17.csv,3000,2717,76
3000,18,d3000_s18.csv,3000,2701,76
3000,19,d3000_s19.csv,3000,2707,76
3000,20,d3000_s20.csv,3000,2743,72
4000,1,d4000_s01.csv,4000,3469,76
4000,2,d4000_s02.csv,4000,3477,76
4000,3,d4000_s03.csv,4000,3494,75
4000,4,d4000_s04.csv,4000,3501,77
4000,5,d4000_s05.csv,4000,3514,77
4000,6,d4000_s06.csv,4000,3503,76
4000,7,d4000_s07.csv,4000,3471,76
4000,8,d4000_s08.csv,4000,3506,76
4000,9,d4000_s09.csv,4000,3495,77
