n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min
1,10,1,6,0,6,16,4.5
10,3,1,6,0,6,17,6.2
6,7,1,6,2,6,16,4.2
4,9,1,6,4,6,22,4.1
1,10,1,6,7,6,22,4.5
1,10,1,6,9,6,24,4.5
3,10,2,6,9,6,26,5.1
4,9,1,6,9,6,26,4.1
6,7,1,6,9,6,24,4.2
4,9,1,6,10,6,28,4.1
4,9,1,6,11,6,28,4.1
1,10,1,6,12,6,28,4.5
4,9,1,6,13,6,30,4.1
10,4,1,6,14,6,28,4.3
6,7,1,6,16,6,30,4.2
3,10,1,6,18,6,35,5.1
6,7,1,6,18,6,32,4.2
10,4,1,6,18,6,32,4.3
4,9,1,6,21,6,38,4.1
10,1,1,6,23,6,38,5.0
5,9,1,6,25,6,44,4.2
10,3,1,6,27,6,44,6.2
6,2,1,6,29,6,42,4.2
1,10,1,6,31,6,46,4.5
6,2,1,6,31,6,44,4.2
6,7,1,6,31,6,46,4.2
10,2,1,6,33,6,51,5.3
4,9,1,6,35,6,52,4.1
6,7,1,6,39,6,54,4.2
3,9,1,6,41,6,58,3.9
4,9,1,6,41,6,58,4.1
10,1,1,6,44,6,60,5.0
4,9,1,6,45,7,2,4.1
6,7,1,6,46,7,0,4.2
6,7,1,6,48,7,2,4.2
6,2,1,6,49,7,2,4.2
6,7,1,6,54,7,8,4.2
1,10,1,6,55,7,10,4.5
1,10,1,6,56,7,12,4.5
7,9,1,6,57,7,11,3.3
6,1,1,7,1,7,10,4.2
6,3,1,7,2,7,14,4.2
5,2,1,7,3,7,14,4.2
6,3,1,7,3,7,15,4.2
7,6,1,7,4,7,18,4.6
10,9,1,7,4,7,25,5.8
6,1,1,7,6,7,15,4.2
3,8,1,7,8,7,20,3.5
6,7,1,7,8,7,22,5.1
6,9,1,7,8,7,30,6.6
6,1,2,7,12,7,21,4.2
10,9,1,7,13,7,34,5.8
2,4,1,7,14,7,22,3.3
9,6,1,7,14,7,36,4.5
6,1,1,7,16,7,25,4.2
9,6,1,7,16,7,38,4.5
6,1,1,7,18,7,27,4.2
8,4,1,7,18,7,32,4.4
5,1,1,7,23,7,32,4.5
6,3,1,7,23,7,35,4.2
10,9,1,7,23,7,44,5.8
2,4,1,7,24,7,32,3.3
8,2,1,7,24,7,36,5.0
6,7,1,7,25,7,40,5.1
6,1,1,7,26,7,35,4.2
10,9,1,7,27,7,48,5.8
3,4,1,7,31,7,40,3.7
3,9,1,7,31,7,48,3.9
4,9,1,7,34,7,52,4.6
6,1,1,7,34,7,43,4.2
6,1,1,7,36,7,45,4.2
6,1,1,7,37,7,46,4.2
9,6,1,7,38,8,0,4.5
6,7,1,7,41,7,56,5.1
6,1,1,7,46,7,55,4.2
9,6,1,7,46,8,8,4.5
5,7,1,7,47,7,59,4.3
6,9,1,7,48,8,10,6.6
10,9,1,7,49,8,10,5.8
8,2,1,7,50,8,2,5.0
6,7,1,7,51,8,6,5.1
6,1,1,7,52,8,1,4.2
6,7,1,7,52,8,6,5.1
10,9,1,7,53,8,14,5.8
5,2,1,7,55,8,6,4.2
10,9,1,7,56,8,17,5.8
5,7,1,7,57,8,9,4.3
3,5,1,7,58,8,8,7.3
7,1,1,7,59,8,8,4.1
2,4,1,8,0,8,8,4.6
6,7,2,8,0,8,14,6.0
8,4,1,8,0,8,14,5.2
5,3,1,8,1,8,11,5.6
6,2,1,8,1,8,14,5.5
6,3,1,8,1,8,13,4.9
9,1,1,8,2,8,20,7.7
3,4,1,8,3,8,12,4.7
6,7,1,8,3,8,18,6.0
6,1,1,8,4,8,13,4.7
6,3,1,8,5,8,17,4.9
9,6,1,8,5,8,27,6.5
2,1,1,8,6,8,15,5.0
3,5,1,8,6,8,16,7.0
5,3,1,8,6,8,16,5.6
2,4,1,8,7,8,15,4.6
3,4,1,8,7,8,16,4.7
5,3,1,8,8,8,18,5.6
3,4,1,8,9,8,18,4.7
5,3,1,8,10,8,20,5.6
3,4,1,8,11,8,20,4.7
3,5,1,8,11,8,21,7.0
5,3,2,8,11,8,21,5.6
9,6,1,8,11,8,33,6.5
9,7,1,8,11,8,25,5.0
2,1,1,8,12,8,21,5.0
6,1,2,8,12,8,21,4.7
7,1,1,8,13,8,22,4.7
7,4,2,8,13,8,22,4.3
8,1,1,8,13,8,27,5.5
5,3,2,8,15,8,25,5.6
5,7,1,8,15,8,27,5.0
2,4,1,8,16,8,24,4.6
3,4,2,8,16,8,25,4.7
6,1,3,8,16,8,25,4.7
3,9,1,8,17,8,34,4.5
5,3,1,8,17,8,27,5.6
8,5,1,8,17,8,32,5.3
5,2,1,8,18,8,28,5.1
5,3,3,8,18,8,28,5.6
8,1,1,8,18,8,32,5.5
8,4,2,8,18,8,32,5.2
8,4,1,8,19,8,32,5.2
3,4,1,8,20,8,29,4.7
7,6,1,8,20,8,34,5.1
2,1,1,8,21,8,30,5.0
3,1,1,8,21,8,29,4.7
8,5,1,8,21,8,36,5.3
3,4,1,8,22,8,31,4.7
3,9,1,8,22,8,39,4.5
5,3,1,8,22,8,32,5.6
6,1,1,8,22,8,31,4.7
8,4,1,8,22,8,36,5.2
9,6,1,8,22,8,44,6.5
3,1,1,8,23,8,31,4.7
6,1,2,8,23,8,32,4.7
3,4,1,8,24,8,33,4.7
5,3,1,8,24,8,34,5.6
5,3,2,8,25,8,35,5.6
8,1,1,8,25,8,39,5.5
9,7,1,8,25,8,39,5.0
3,4,1,8,26,8,35,4.7
7,1,1,8,26,8,35,4.7
8,4,1,8,26,8,40,5.2
4,3,1,8,27,8,36,5.5
6,4,1,8,27,8,36,4.2
3,8,1,8,28,8,40,3.9
6,7,1,8,28,8,42,6.0
8,4,1,8,28,8,42,5.2
3,4,1,8,29,8,38,4.7
3,9,1,8,29,8,46,4.5
6,1,1,8,29,8,38,4.7
6,7,1,8,29,8,44,6.0
7,4,1,8,29,8,38,4.3
8,2,1,8,29,8,41,5.4
8,3,1,8,29,8,41,5.3
8,4,1,8,29,8,42,5.2
5,2,1,8,30,8,40,5.1
6,3,1,8,30,8,42,4.9
3,4,1,8,31,8,40,4.7
3,4,1,8,32,8,41,4.7
3,6,1,8,32,8,44,3.6
6,3,1,8,32,8,44,4.9
3,9,1,8,33,8,50,4.5
6,1,1,8,33,8,42,4.7
9,6,1,8,33,8,55,6.5
3,4,1,8,34,8,43,4.7
6,1,1,8,34,8,43,4.7
6,9,1,8,34,8,56,6.9
7,4,1,8,34,8,43,4.3
8,1,1,8,34,8,48,5.5
9,7,1,8,34,8,48,5.0
1,10,1,8,35,8,50,4.9
8,1,1,8,35,8,49,5.5
9,6,1,8,35,8,57,6.5
10,9,1,8,35,8,56,7.1
6,1,1,8,36,8,45,4.7
2,5,1,8,37,8,48,9.9
3,4,1,8,37,8,46,4.7
6,1,1,8,37,8,46,4.7
6,2,1,8,37,8,50,5.5
6,7,1,8,37,8,52,6.0
