n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min
4,9,1,6,0,6,18,4.1
10,3,1,6,14,6,31,6.2
6,2,1,6,17,6,30,4.2
10,3,1,6,18,6,35,6.2
10,4,1,6,18,6,32,4.3
1,10,1,6,20,6,36,4.5
1,10,1,6,21,6,36,4.5
6,7,1,6,22,6,36,4.2
10,3,2,6,22,6,39,6.2
10,3,1,6,26,6,43,6.2
3,10,1,6,28,6,45,5.1
1,10,1,6,29,6,44,4.5
1,10,1,6,32,6,48,4.5
4,9,1,6,33,6,50,4.1
10,3,1,6,36,6,53,6.2
9,4,1,6,38,6,56,4.6
10,3,1,6,40,6,57,6.2
10,3,1,6,46,7,3,6.2
6,7,1,6,50,7,4,4.2
6,1,1,7,0,7,9,4.2
10,9,1,7,0,7,21,5.8
6,1,1,7,3,7,12,4.2
8,2,1,7,3,7,15,5.0
6,1,1,7,4,7,13,4.2
3,9,1,7,12,7,29,3.9
6,1,1,7,12,7,21,4.2
6,1,1,7,14,7,23,4.2
7,1,1,7,14,7,23,4.1
7,4,1,7,15,7,24,3.2
3,8,1,7,17,7,29,3.5
6,1,1,7,18,7,27,4.2
6,3,1,7,18,7,30,4.2
5,2,1,7,20,7,30,4.2
9,1,1,7,25,7,43,5.8
6,1,1,7,27,7,36,4.2
10,9,1,7,27,7,48,5.8
10,3,1,7,28,7,45,5.6
3,8,1,7,34,7,46,3.5
6,3,1,7,34,7,46,4.2
6,7,1,7,35,7,50,5.1
4,10,1,7,40,7,54,4.0
3,8,1,7,44,7,56,3.5
3,9,1,7,44,8,1,3.9
6,1,1,7,45,7,54,4.2
9,6,1,7,46,8,8,4.5
9,1,1,7,47,8,5,5.8
6,3,1,7,49,8,1,4.2
1,10,1,7,53,8,8,4.6
6,1,1,7,56,8,5,4.2
6,7,1,7,56,8,10,5.1
6,3,1,7,58,8,10,4.2
5,3,1,8,0,8,10,5.6
5,3,1,8,1,8,11,5.6
6,1,1,8,1,8,10,4.7
6,4,1,8,1,8,10,4.2
7,1,1,8,1,8,10,4.7
2,1,1,8,2,8,11,5.0
3,4,1,8,2,8,11,4.7
6,1,1,8,2,8,11,4.7
8,1,1,8,2,8,16,5.5
3,9,1,8,3,8,20,4.5
3,6,1,8,4,8,16,3.6
7,4,1,8,4,8,13,4.3
3,1,1,8,5,8,13,4.7
5,3,1,8,6,8,16,5.6
2,4,1,8,7,8,15,4.6
5,3,1,8,8,8,18,5.6
6,2,1,8,8,8,21,5.5
3,4,1,8,9,8,18,4.7
3,4,1,8,10,8,19,4.7
5,3,1,8,10,8,20,5.6
9,6,2,8,10,8,32,6.5
3,1,1,8,11,8,19,4.7
5,3,2,8,11,8,21,5.6
5,2,1,8,12,8,22,5.1
6,1,1,8,12,8,21,4.7
6,2,1,8,12,8,25,5.5
3,5,1,8,13,8,23,7.0
7,4,1,8,13,8,22,4.3
7,1,1,8,14,8,23,4.7
3,1,1,8,15,8,23,4.7
5,3,2,8,15,8,25,5.6
7,1,1,8,15,8,24,4.7
3,4,1,8,17,8,26,4.7
5,3,1,8,17,8,27,5.6
5,3,2,8,18,8,28,5.6
2,1,1,8,19,8,28,5.0
6,1,1,8,19,8,28,4.7
8,4,1,8,19,8,32,5.2
8,5,1,8,19,8,34,5.3
3,1,1,8,20,8,28,4.7
3,8,1,8,20,8,32,3.9
8,1,1,8,20,8,34,5.5
4,9,1,8,21,8,38,5.4
6,4,1,8,21,8,30,4.2
