n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min
10,3,1,6,13,6,30,6.2
1,10,1,6,30,6,46,4.5
3,9,2,6,30,6,47,3.9
10,3,1,6,43,7,0,6.2
10,2,1,6,45,7,3,5.3
4,9,1,6,50,7,8,4.1
4,9,1,6,53,7,10,4.1
6,7,1,6,58,7,12,4.2
4,9,1,7,0,7,18,4.6
5,1,1,7,4,7,14,4.5
8,2,1,7,5,7,17,5.0
6,1,1,7,16,7,25,4.2
10,9,1,7,17,7,38,5.8
5,7,1,7,19,7,31,4.3
3,8,1,7,20,7,32,3.5
6,1,1,7,22,7,31,4.2
6,1,1,7,44,7,53,4.2
6,2,1,7,52,8,5,4.9
6,7,1,8,2,8,16,6.0
8,7,1,8,2,8,11,4.4
7,9,1,8,8,8,22,4.2
9,7,1,8,8,8,22,5.0
6,1,1,8,9,8,18,4.7
5,3,1,8,11,8,21,5.6
6,1,2,8,12,8,21,4.7
3,4,2,8,13,8,22,4.7
6,1,1,8,14,8,23,4.7
6,1,1,8,15,8,24,4.7
5,3,1,8,17,8,27,5.6
3,5,1,8,19,8,29,7.0
3,9,1,8,22,8,39,4.5
6,7,1,8,22,8,36,6.0
7,4,1,8,24,8,33,4.3
3,9,1,8,26,8,43,4.5
8,4,1,8,26,8,40,5.2
7,4,1,8,27,8,36,4.3
8,1,1,8,28,8,42,5.5
2,1,1,8,29,8,38,5.0
3,4,1,8,29,8,38,4.7
10,9,1,8,30,8,51,7.1
5,3,1,8,32,8,42,5.6
2,4,1,8,35,8,43,4.6
6,1,1,8,37,8,46,4.7
5,3,1,8,41,8,51,5.6
8,1,1,8,42,8,56,5.5
6,9,1,8,44,9,6,6.9
6,3,1,8,45,8,57,4.9
6,1,1,8,47,8,56,4.7
9,1,1,8,47,9,5,7.7
7,4,1,8,49,8,58,4.3
6,2,1,8,50,9,3,5.5
5,3,1,8,52,9,2,5.6
7,1,1,8,53,9,2,4.7
8,4,1,8,56,9,10,5.2
9,7,1,8,56,9,10,5.0
2,1,1,8,59,9,8,5.0
8,7,1,9,2,9,11,4.1
5,4,1,9,3,9,11,4.5
3,4,1,9,4,9,13,4.6
4,2,1,9,13,9,21,4.4
2,1,1,9,19,9,28,4.7
3,1,1,9,19,9,27,4.9
2,4,1,9,21,9,29,4.5
6,3,1,9,23,9,35,4.7
2,4,1,9,34,9,42,4.5
8,4,1,9,37,9,50,5.3
9,1,1,9,48,10,6,7.4
9,6,1,9,48,10,10,6.1
4,3,1,10,6,10,15,4.3
8,4,1,10,12,10,26,5.1
5,3,1,10,13,10,23,5.4
5,3,1,10,14,10,24,5.4
1,9,1,10,19,10,37,6.4
7,1,1,10,22,10,31,4.9
3,5,1,10,23,10,33,6.0
7,4,1,10,25,10,34,4.6
5,1,1,10,29,10,38,5.1
4,2,1,10,31,10,39,4.2
9,1,1,10,31,10,49,7.0
2,5,1,10,33,10,44,5.6
3,10,1,10,33,10,50,7.5
2,1,1,10,34,10,43,4.5
1,8,1,10,35,10,49,4.5
1,9,1,10,38,10,56,6.4
3,1,1,10,38,10,46,4.8
3,6,1,10,39,10,51,4.3
3,9,1,10,40,10,57,4.9
5,9,1,10,40,10,59,5.8
9,1,1,10,40,10,58,7.0
4,7,1,10,42,10,51,4.3
3,5,1,10,43,10,53,6.0
5,3,1,10,43,10,53,5.4
9,4,1,10,44,11,2,5.8
3,6,1,10,46,10,58,4.3
9,3,1,10,46,11,3,4.0
2,4,1,10,48,10,56,3.6
6,1,1,10,50,10,59,4.6
10,3,1,10,51,11,8,9.0
2,5,1,10,53,11,4,5.6
6,1,1,10,53,11,2,4.6
4,7,1,10,54,11,3,4.3
4,2,1,10,56,11,4,4.2
3,4,1,10,58,11,7,4.4
4,2,1,11,2,11,10,4.1
4,2,2,11,5,11,13,4.1
1,10,1,11,6,11,22,6.1
2,5,2,11,6,11,16,5.1
4,2,1,11,12,11,20,4.1
10,3,1,11,13,11,30,7.9
4,7,1,11,18,11,27,4.1
7,4,1,11,20,11,29,4.0
4,7,1,11,24,11,33,4.1
8,1,1,11,24,11,38,4.8
4,3,1,11,26,11,35,4.0
4,9,1,11,27,11,44,5.5
8,6,1,11,28,11,47,4.7
9,4,1,11,28,11,46,5.4
3,1,1,11,29,11,37,4.6
1,7,1,11,30,11,39,4.0
2,5,1,11,30,11,40,5.1
6,7,1,11,30,11,44,5.3
4,8,1,11,32,11,46,4.7
6,1,1,11,39,11,48,4.3
9,10,1,11,39,12,0,6.6
4,7,1,11,44,11,53,4.1
1,9,1,11,47,12,5,6.5
1,10,1,11,52,12,8,6.1
2,5,1,12,9,12,20,5.3
6,7,1,12,9,12,24,4.6
6,7,1,12,12,12,26,4.6
1,10,1,12,13,12,28,5.0
7,4,1,12,14,12,23,4.0
6,7,1,12,15,12,30,4.6
3,5,1,12,17,12,27,5.2
3,5,1,12,22,12,32,5.2
3,6,1,12,24,12,36,3.9
6,3,1,12,25,12,37,3.8
6,7,1,12,30,12,44,4.6
4,9,1,12,31,12,48,5.0
7,5,1,12,46,12,58,5.2
10,3,1,12,46,13,3,6.3
7,1,1,12,48,12,57,4.7
6,7,1,12,50,13,4,4.6
1,10,1,12,56,13,12,5.0
5,9,1,12,57,13,16,4.8
4,10,1,12,59,13,13,4.1
4,7,1,13,1,13,10,3.9
9,1,1,13,1,13,19,7.0
7,4,1,13,3,13,12,3.8
