n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min
10,3,1,6,24,6,41,6.2
10,3,1,6,31,6,48,6.2
10,3,1,6,54,7,11,6.2
9,1,1,7,18,7,36,5.8
6,7,1,7,33,7,48,5.1
6,7,1,7,35,7,50,5.1
6,1,1,7,36,7,45,4.2
6,3,1,7,59,8,11,4.2
3,4,1,8,1,8,10,4.7
6,7,1,8,3,8,18,6.0
7,4,1,8,3,8,12,4.3
6,1,1,8,6,8,15,4.7
10,9,1,8,7,8,28,7.1
3,4,1,8,8,8,17,4.7
8,5,1,8,8,8,24,5.3
3,4,1,8,9,8,18,4.7
3,1,1,8,11,8,19,4.7
8,1,1,8,11,8,25,5.5
3,4,1,8,12,8,21,4.7
5,3,1,8,19,8,29,5.6
9,6,1,8,20,8,42,6.5
10,9,1,8,22,8,43,7.1
3,1,1,8,23,8,31,4.7
8,4,1,8,23,8,36,5.2
3,1,1,8,28,8,36,4.7
5,3,1,8,28,8,38,5.6
7,4,1,8,29,8,38,4.3
2,1,1,8,31,8,40,5.0
2,4,1,8,32,8,40,4.6
6,1,1,8,32,8,41,4.7
6,7,1,8,32,8,46,6.0
6,1,2,8,35,8,44,4.7
9,7,1,8,35,8,49,5.0
5,3,1,8,40,8,50,5.6
3,4,1,8,41,8,50,4.7
6,1,1,8,42,8,51,4.7
3,1,1,8,43,8,51,4.7
7,1,1,8,43,8,52,4.7
2,1,1,8,44,8,53,5.0
6,1,1,8,44,8,53,4.7
8,1,1,8,44,8,58,5.5
5,1,1,8,47,8,56,5.4
5,3,1,8,47,8,57,5.6
6,7,1,8,49,9,4,6.0
5,3,1,8,50,8,60,5.6
3,4,1,8,53,9,2,4.7
8,7,1,8,53,9,2,4.4
9,1,1,8,57,9,15,7.7
5,2,1,9,1,9,12,4.7
8,4,1,9,1,9,14,5.3
5,7,1,9,2,9,14,5.1
2,4,1,9,4,9,12,4.5
7,1,1,9,8,9,17,4.6
2,4,1,9,10,9,18,4.5
8,2,1,9,10,9,22,5.5
6,7,1,9,11,9,26,5.7
2,4,1,9,13,9,21,4.5
2,5,1,9,14,9,24,7.5
6,1,1,9,17,9,26,4.6
2,1,1,9,19,9,28,4.7
6,7,1,9,28,9,42,5.7
6,1,1,9,50,9,59,4.6
7,4,1,9,51,10,0,4.8
9,7,1,9,55,10,9,5.1
4,2,1,10,0,10,8,4.2
1,10,1,10,1,10,16,5.9
4,2,1,10,1,10,9,4.2
4,2,2,10,3,10,11,4.2
9,5,1,10,5,10,24,5.3
6,7,1,10,6,10,20,5.7
5,7,1,10,9,10,21,4.6
4,9,1,10,10,10,28,5.5
4,2,1,10,13,10,21,4.2
4,9,1,10,15,10,32,5.5
6,1,1,10,16,10,25,4.6
3,1,1,10,23,10,31,4.8
7,4,1,10,29,10,38,4.6
4,2,1,10,30,10,38,4.2
10,3,1,10,31,10,48,9.0
10,4,1,10,31,10,45,4.9
6,1,1,10,33,10,42,4.6
6,7,1,10,38,10,52,5.7
10,2,1,10,39,10,57,6.7
3,4,1,10,40,10,49,4.4
7,4,1,10,40,10,49,4.6
9,3,1,10,40,10,57,4.0
3,9,1,10,41,10,58,4.9
3,1,1,10,44,10,52,4.8
3,9,2,10,44,11,1,4.9
3,5,1,10,45,10,55,6.0
9,1,1,10,47,11,5,7.0
9,5,1,10,47,11,6,5.3
1,7,1,10,49,10,58,4.0
4,9,1,10,56,11,14,5.5
6,8,1,10,56,11,15,5.1
3,9,1,10,57,11,14,4.9
3,1,1,10,58,11,6,4.8
4,2,1,10,59,11,7,4.2
2,5,1,11,0,11,10,5.1
3,9,1,11,2,11,19,4.6
5,8,1,11,2,11,18,4.9
6,3,1,11,5,11,17,4.6
4,7,1,11,6,11,15,4.1
6,7,1,11,6,11,20,5.3
3,5,1,11,7,11,17,5.2
10,9,1,11,7,11,28,5.9
10,9,1,11,11,11,32,5.9
4,2,1,11,13,11,21,4.1
2,1,1,11,21,11,30,4.8
4,7,1,11,22,11,31,4.1
8,3,1,11,23,11,35,4.9
3,9,1,11,36,11,53,4.6
6,7,1,11,38,11,52,5.3
9,4,1,11,38,11,56,5.4
4,9,1,11,40,11,58,5.5
3,9,1,11,43,11,60,4.6
4,7,1,11,49,11,58,4.1
7,4,1,11,50,11,59,4.0
9,4,1,11,54,12,12,5.4
1,8,1,12,0,12,14,4.7
5,9,1,12,1,12,20,4.8
7,4,1,12,2,12,11,4.0
10,3,1,12,6,12,23,6.3
10,3,1,12,7,12,24,6.3
10,3,1,12,9,12,26,6.3
10,3,1,12,18,12,35,6.3
4,10,1,12,25,12,39,4.1
10,3,1,12,26,12,43,6.3
1,7,1,12,27,12,36,4.1
10,3,1,12,31,12,48,6.3
2,9,1,12,35,12,51,5.0
2,5,1,12,41,12,52,5.3
7,1,1,12,43,12,52,4.7
10,3,1,12,44,13,1,6.3
4,9,1,12,48,13,6,5.0
1,10,1,12,52,13,8,5.0
7,4,1,12,52,13,1,4.0
2,5,1,12,57,13,8,5.3
2,6,1,13,0,13,13,4.6
7,1,1,13,0,13,9,4.8
4,9,1,13,2,13,20,4.7
1,10,1,13,4,13,20,4.9
9,4,1,13,14,13,32,5.1
3,10,1,13,15,13,32,5.3
6,9,1,13,19,13,41,5.2
10,3,1,13,21,13,38,7.1
4,9,1,13,22,13,40,4.7
4,2,1,13,23,13,31,3.5
7,4,1,13,30,13,39,3.8
10,3,1,13,34,13,51,7.1
6,7,1,13,35,13,50,4.6
6,9,1,13,38,14,0,5.2
4,2,1,13,43,13,51,3.5
7,1,1,13,44,13,53,4.8
6,3,1,13,46,13,58,3.8
4,10,1,13,58,14,12,4.0
5,2,1,13,59,14,10,4.3
3,5,1,14,0,14,10,5.3
4,2,1,14,5,14,13,3.8
6,7,1,14,9,14,24,4.8
4,2,1,14,11,14,19,3.8
4,9,1,14,13,14,30,5.0
4,7,1,14,14,14,23,4.0
7,4,1,14,14,14,23,4.1
1,7,1,14,17,14,26,4.4
3,4,1,14,17,14,26,4.4
10,3,1,14,18,14,35,6.6
2,1,1,14,19,14,28,4.5
4,7,1,14,20,14,29,4.0
1,2,1,14,22,14,31,4.5
1,7,1,14,25,14,34,4.4
4,3,1,14,30,14,39,3.9
4,7,1,14,32,14,41,4.0
10,4,1,14,37,14,51,4.6
8,6,1,14,38,14,57,4.4
9,4,1,14,41,14,58,5.1
3,6,1,14,43,14,55,4.3
8,3,1,14,47,14,59,4.9
2,5,1,14,52,15,2,4.8
10,3,1,14,52,15,9,6.6
4,7,1,14,53,15,2,4.0
7,4,1,14,55,15,4,4.1
1,10,1,15,2,15,18,4.8
9,4,1,15,2,15,20,5.6
4,2,1,15,5,15,13,3.8
10,4,1,15,5,15,19,4.5
2,6,1,15,7,15,20,5.0
7,4,1,15,8,15,17,3.9
1,8,1,15,14,15,28,4.5
3,5,1,15,16,15,26,5.4
7,4,1,15,16,15,25,3.9
4,2,1,15,19,15,27,3.8
3,5,1,15,23,15,33,5.4
9,4,1,15,23,15,40,5.6
10,3,1,15,23,15,40,7.3
5,2,1,15,25,15,36,4.7
2,5,1,15,26,15,36,4.7
3,4,1,15,26,15,35,4.3
4,2,1,15,29,15,37,3.8
6,7,1,15,31,15,46,4.8
7,4,1,15,31,15,40,3.9
3,6,1,15,37,15,49,4.6
9,4,1,15,37,15,54,5.6
3,9,1,15,38,15,55,3.9
4,2,1,15,40,15,48,3.8
1,2,1,15,42,15,51,4.5
3,10,1,15,43,16,0,7.5
10,9,1,15,43,16,4,6.2
9,2,1,15,44,16,0,4.7
4,3,1,15,45,15,54,4.2
8,2,1,15,49,16,1,4.0
10,3,1,15,51,16,8,7.3
1,7,1,15,53,16,2,4.4
7,1,1,15,56,16,5,4.7
2,5,1,15,58,16,8,4.7
4,2,1,15,58,16,6,3.8
3,5,1,15,59,16,9,5.4
6,7,1,15,59,16,14,4.8
3,5,1,16,2,16,12,5.3
5,2,1,16,2,16,12,4.9
1,5,1,16,4,16,14,4.0
7,4,1,16,7,16,16,4.1
4,2,1,16,9,16,17,4.2
7,4,1,16,9,16,18,4.1
3,5,1,16,10,16,20,5.3
3,5,1,16,11,16,21,5.3
6,3,1,16,11,16,23,4.1
1,5,1,16,12,16,22,4.0
