n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min
4,9,1,6,0,6,18,4.1
10,3,1,6,0,6,17,6.2
10,3,1,6,2,6,19,6.2
1,10,1,6,3,6,18,4.5
1,10,1,6,4,6,20,4.5
4,9,1,6,7,6,24,4.1
10,3,1,6,8,6,25,6.2
1,10,1,6,10,6,26,4.5
10,4,1,6,11,6,25,4.3
10,3,1,6,18,6,35,6.2
10,3,1,6,20,6,37,6.2
1,10,1,6,25,6,40,4.5
1,10,1,6,35,6,50,4.5
1,10,1,6,36,6,52,4.5
3,9,1,6,40,6,57,3.9
10,3,1,6,44,7,1,6.2
1,10,1,6,45,7,0,4.5
10,3,1,6,53,7,10,6.2
10,3,1,6,57,7,14,6.2
10,6,1,6,57,7,10,4.7
10,3,1,6,58,7,15,6.2
6,7,1,7,0,7,14,5.1
2,4,1,7,1,7,9,3.3
4,9,1,7,1,7,18,4.6
6,1,1,7,2,7,11,4.2
6,1,1,7,3,7,12,4.2
6,1,1,7,9,7,18,4.2
5,7,1,7,11,7,23,4.3
6,7,1,7,13,7,28,5.1
6,7,1,7,16,7,30,5.1
7,4,1,7,16,7,25,3.2
6,1,1,7,17,7,26,4.2
7,4,1,7,17,7,26,3.2
10,9,1,7,22,7,43,5.8
8,3,1,7,23,7,35,4.4
6,3,1,7,30,7,42,4.2
7,1,1,7,30,7,39,4.1
5,2,1,7,35,7,46,4.2
6,1,1,7,35,7,44,4.2
7,4,1,7,35,7,44,3.2
9,6,1,7,36,7,58,4.5
5,2,1,7,37,7,48,4.2
10,9,1,7,38,7,59,5.8
10,9,1,7,42,8,3,5.8
2,4,1,7,43,7,51,3.3
6,1,1,7,46,7,55,4.2
6,1,1,7,48,7,57,4.2
7,4,1,7,48,7,57,3.2
1,9,1,7,51,8,9,7.1
6,7,1,7,54,8,8,5.1
8,2,1,7,54,8,6,5.0
6,1,1,7,56,8,5,4.2
9,6,1,7,57,8,19,4.5
6,2,1,7,59,8,12,4.9
3,1,1,8,0,8,8,4.7
3,4,1,8,0,8,9,4.7
3,9,1,8,0,8,17,4.5
6,3,1,8,0,8,12,4.9
2,1,1,8,5,8,14,5.0
8,5,1,8,5,8,20,5.3
3,1,1,8,6,8,14,4.7
8,3,1,8,7,8,19,5.3
2,1,1,8,8,8,17,5.0
6,2,1,8,8,8,21,5.5
3,1,1,8,9,8,17,4.7
4,9,1,8,9,8,26,5.4
6,1,1,8,10,8,19,4.7
6,3,2,8,10,8,22,4.9
10,9,1,8,10,8,31,7.1
7,4,1,8,11,8,20,4.3
2,1,1,8,12,8,21,5.0
9,7,1,8,12,8,26,5.0
2,4,1,8,15,8,23,4.6
5,3,1,8,15,8,25,5.6
7,4,1,8,15,8,24,4.3
5,3,1,8,17,8,27,5.6
7,1,1,8,17,8,26,4.7
3,4,1,8,18,8,27,4.7
5,3,1,8,18,8,28,5.6
5,3,1,8,19,8,29,5.6
6,3,1,8,19,8,31,4.9
8,4,1,8,19,8,32,5.2
5,3,1,8,20,8,30,5.6
6,3,1,8,20,8,32,4.9
7,4,1,8,20,8,29,4.3
9,7,1,8,20,8,34,5.0
4,9,1,8,21,8,38,5.4
2,1,1,8,22,8,31,5.0
5,3,1,8,23,8,33,5.6
6,1,2,8,23,8,32,4.7
8,5,1,8,23,8,38,5.3
6,7,1,8,24,8,38,6.0
6,7,1,8,28,8,42,6.0
10,9,1,8,28,8,49,7.1
3,8,1,8,30,8,42,3.9
6,1,1,8,30,8,39,4.7
6,1,1,8,32,8,41,4.7
3,9,1,8,33,8,50,4.5
2,1,1,8,34,8,43,5.0
3,4,1,8,34,8,43,4.7
5,3,2,8,34,8,44,5.6
6,4,1,8,35,8,44,4.2
5,3,1,8,36,8,46,5.6
6,3,1,8,37,8,49,4.9
3,4,1,8,38,8,47,4.7
2,4,1,8,39,8,47,4.6
7,1,1,8,39,8,48,4.7
3,4,1,8,40,8,49,4.7
8,2,1,8,40,8,52,5.4
3,4,1,8,41,8,50,4.7
2,1,1,8,42,8,51,5.0
3,5,1,8,42,8,52,7.0
5,3,1,8,42,8,52,5.6
7,4,1,8,43,8,52,4.3
1,9,1,8,44,9,2,9.0
5,3,1,8,44,8,54,5.6
2,1,1,8,45,8,54,5.0
3,1,1,8,45,8,53,4.7
9,6,1,8,46,9,8,6.5
3,4,2,8,47,8,56,4.7
5,3,1,8,47,8,57,5.6
6,1,1,8,47,8,56,4.7
6,3,1,8,47,8,59,4.9
6,7,1,8,47,9,2,6.0
8,5,1,8,47,9,2,5.3
2,4,1,8,48,8,56,4.6
3,4,2,8,48,8,57,4.7
2,1,1,8,49,8,58,5.0
5,3,1,8,49,8,59,5.6
7,1,1,8,49,8,58,4.7
7,4,1,8,49,8,58,4.3
8,3,1,8,49,9,1,5.3
8,4,1,8,49,9,2,5.2
10,9,1,8,49,9,10,7.1
2,4,1,8,50,8,58,4.6
6,7,1,8,50,9,4,6.0
2,1,1,8,52,9,1,5.0
5,3,1,8,52,9,2,5.6
6,1,1,8,52,9,1,4.7
6,4,1,8,52,9,1,4.2
2,4,1,8,53,9,1,4.6
7,1,1,8,53,9,2,4.7
9,1,1,8,53,9,11,7.7
6,1,1,8,54,9,3,4.7
3,9,1,8,55,9,12,4.5
8,4,1,8,55,9,8,5.2
5,3,1,8,56,9,6,5.6
8,1,1,8,56,9,10,5.5
2,4,1,8,57,9,5,4.6
3,1,1,8,57,9,5,4.7
3,9,1,8,57,9,14,4.5
6,1,1,8,58,9,7,4.7
8,2,1,8,58,9,10,5.4
2,4,2,9,0,9,8,4.5
6,7,1,9,0,9,14,5.7
9,7,1,9,0,9,14,5.1
8,7,1,9,3,9,12,4.1
4,2,1,9,8,9,16,4.4
8,4,1,9,9,9,22,5.3
6,1,1,9,10,9,19,4.6
4,2,1,9,11,9,19,4.4
6,2,1,9,12,9,25,5.5
3,4,1,9,14,9,23,4.6
2,4,1,9,15,9,23,4.5
8,4,1,9,15,9,28,5.3
9,6,1,9,18,9,40,6.1
9,7,1,9,20,9,34,5.1
2,1,1,9,21,9,30,4.7
3,4,1,9,21,9,30,4.6
10,9,1,9,21,9,42,5.6
5,7,1,9,23,9,35,5.1
5,7,1,9,25,9,37,5.1
2,1,1,9,26,9,35,4.7
7,1,1,9,26,9,35,4.6
6,7,1,9,27,9,42,5.7
7,4,1,9,27,9,36,4.8
2,4,1,9,28,9,36,4.5
3,4,1,9,28,9,37,4.6
6,1,1,9,28,9,37,4.6
2,1,1,9,29,9,38,4.7
3,1,1,9,31,9,39,4.9
6,1,1,9,32,9,41,4.6
6,4,1,9,32,9,41,4.0
9,7,1,9,32,9,46,5.1
2,4,1,9,33,9,41,4.5
2,5,1,9,33,9,44,7.5
6,3,1,9,35,9,47,4.7
6,1,1,9,37,9,46,4.6
3,1,1,9,39,9,47,4.9
6,7,1,9,39,9,54,5.7
2,4,1,9,40,9,48,4.5
6,1,1,9,40,9,49,4.6
8,4,1,9,41,9,54,5.3
9,6,1,9,47,10,9,6.1
2,1,1,9,49,9,58,4.7
2,4,1,9,51,9,59,4.5
6,7,1,9,51,10,6,5.7
6,1,1,9,52,10,1,4.6
7,1,1,9,52,10,1,4.6
9,6,1,9,53,10,15,6.1
10,9,1,9,53,10,14,5.6
3,4,1,9,54,10,3,4.6
8,7,1,9,55,10,4,4.1
10,9,1,9,55,10,16,5.6
2,4,1,9,56,10,4,4.5
8,2,1,9,58,10,10,5.5
2,4,1,9,59,10,7,4.5
3,4,1,10,0,10,9,4.4
4,2,1,10,0,10,8,4.2
4,3,1,10,0,10,9,4.3
4,7,1,10,0,10,9,4.3
1,6,1,10,1,10,10,3.8
5,1,1,10,1,10,10,5.1
6,2,1,10,1,10,14,5.9
1,10,1,10,2,10,18,5.9
4,2,1,10,2,10,10,4.2
4,7,1,10,2,10,11,4.3
4,9,1,10,2,10,20,5.5
10,4,1,10,2,10,16,4.9
2,4,1,10,3,10,11,3.6
4,2,1,10,3,10,11,4.2
4,7,1,10,3,10,12,4.3
9,3,1,10,3,10,20,4.0
2,10,1,10,4,10,22,6.7
7,4,1,10,4,10,13,4.6
10,3,1,10,4,10,21,9.0
4,7,1,10,5,10,14,4.3
2,4,1,10,6,10,14,3.6
