n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min
2,4,1,7,2,7,10,3.3
6,7,1,7,20,7,34,5.1
10,9,1,7,34,7,55,5.8
5,7,1,7,45,7,57,4.3
5,3,1,8,18,8,28,5.6
8,4,1,8,33,8,46,5.2
3,4,1,8,40,8,49,4.7
3,1,1,9,4,9,12,4.9
6,7,1,9,23,9,38,5.7
9,10,1,10,1,10,22,5.9
3,1,1,10,18,10,26,4.8
3,5,1,10,23,10,33,6.0
4,7,1,10,30,10,39,4.3
6,7,1,10,34,10,48,5.7
5,9,1,10,41,11,0,5.8
10,3,1,10,48,11,5,9.0
5,3,1,10,53,11,3,5.4
2,5,1,10,55,11,6,5.6
4,7,1,11,9,11,18,4.1
6,3,1,11,13,11,25,4.6
4,2,1,11,51,11,59,4.1
7,4,1,12,13,12,22,4.0
3,9,1,12,48,13,5,4.8
6,7,1,13,31,13,46,4.6
9,4,1,13,40,13,58,5.1
1,2,1,14,2,14,11,4.5
7,4,1,14,11,14,20,4.1
2,6,1,14,18,14,31,4.7
3,5,1,14,34,14,44,5.3
7,1,1,14,36,14,45,4.6
4,7,1,14,39,14,48,4.0
2,5,1,14,43,14,54,4.8
10,9,1,14,46,15,7,4.8
7,4,1,14,56,15,5,4.1
1,7,1,15,4,15,13,4.4
7,5,1,15,4,15,16,5.1
2,5,1,15,22,15,32,4.7
7,6,1,15,45,15,60,4.7
6,7,1,15,57,16,12,4.8
1,8,1,15,58,16,12,4.5
6,7,1,16,3,16,18,4.8
4,2,1,16,13,16,21,4.2
3,9,1,16,33,16,50,4.5
9,4,1,16,36,16,54,6.3
4,2,1,16,39,16,47,4.2
6,7,1,16,41,16,56,4.8
4,2,1,16,42,16,50,4.2
1,10,1,16,43,16,58,6.1
1,5,1,16,51,17,0,4.0
8,6,1,16,53,17,12,5.3
7,4,1,16,57,17,6,4.1
3,10,1,16,58,17,15,7.1
9,4,1,16,58,17,16,6.3
2,4,1,17,4,17,12,5.3
3,5,1,17,15,17,25,6.9
3,10,1,17,35,17,52,9.6
8,6,1,17,48,18,7,5.8
6,7,1,17,54,18,8,5.5
1,2,1,18,14,18,23,5.4
7,1,1,18,18,18,27,4.9
1,3,1,18,21,18,29,5.3
1,3,1,18,24,18,32,5.3
4,3,1,18,27,18,36,4.6
4,7,1,18,32,18,41,4.6
1,6,1,18,33,18,42,4.7
1,7,1,18,39,18,48,5.2
2,5,1,18,42,18,52,7.0
2,5,1,18,44,18,54,7.0
1,3,1,18,46,18,54,5.3
1,5,1,18,57,19,6,4.8
1,6,1,19,3,19,12,4.6
1,7,1,19,5,19,14,4.5
4,3,1,19,14,19,23,4.6
4,6,1,19,17,19,26,4.5
4,2,1,19,18,19,26,4.6
2,5,1,19,36,19,46,6.5
3,4,1,19,37,19,46,5.0
4,6,1,19,59,20,8,4.5
2,5,1,20,5,20,16,4.6
2,5,1,20,6,20,16,4.6
2,5,1,20,8,20,18,4.6
2,5,1,20,10,20,20,4.6
2,5,1,20,20,20,30,4.6
9,4,1,20,26,20,44,4.4
5,2,1,20,31,20,42,5.1
4,10,1,20,36,20,50,5.0
2,5,1,20,49,20,60,4.6
3,10,1,20,53,21,10,6.1
2,5,1,20,55,21,6,4.6
2,10,1,20,56,21,14,7.0
2,5,1,20,59,21,10,4.6
4,9,1,21,3,21,20,4.4
4,9,1,21,19,21,36,4.4
1,10,1,21,43,21,58,5.2
7,10,1,21,48,22,6,4.5
4,9,1,22,37,22,54,4.0
10,3,1,22,40,22,57,5.8
6,7,1,22,57,23,12,4.2
1,10,1,23,8,23,24,5.3
8,6,1,23,37,23,56,3.4
