n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min
1,10,1,6,2,6,18,4.5
6,7,1,6,2,6,16,4.2
6,7,1,6,3,6,18,4.2
10,3,1,6,3,6,20,6.2
10,4,1,6,3,6,17,4.3
4,9,1,6,4,6,22,4.1
9,4,1,6,4,6,22,4.6
1,10,1,6,7,6,22,4.5
4,9,1,6,7,6,24,4.1
4,9,1,6,8,6,26,4.1
4,9,1,6,9,6,26,4.1
2,6,1,6,11,6,24,4.0
10,3,1,6,12,6,29,6.2
4,9,1,6,13,6,30,4.1
6,2,1,6,13,6,26,4.2
4,9,1,6,14,6,32,4.1
10,3,1,6,15,6,32,6.2
9,4,1,6,16,6,34,4.6
6,2,1,6,17,6,30,4.2
6,7,1,6,17,6,32,4.2
3,10,1,6,21,6,38,5.1
4,9,1,6,23,6,40,4.1
1,10,1,6,24,6,40,4.5
10,4,1,6,24,6,38,4.3
3,10,1,6,25,6,42,5.1
6,7,1,6,25,6,40,4.2
10,3,1,6,27,6,44,6.2
10,3,1,6,29,6,46,6.2
3,9,1,6,31,6,48,3.9
9,4,1,6,31,6,48,4.6
1,10,1,6,33,6,48,4.5
10,3,1,6,34,6,51,6.2
1,10,1,6,36,6,52,4.5
1,10,1,6,37,6,52,4.5
10,3,1,6,39,6,56,6.2
1,10,1,6,41,6,56,4.5
10,4,1,6,45,6,59,4.3
5,9,1,6,51,7,10,4.2
6,7,1,6,52,7,6,4.2
1,10,1,6,53,7,8,4.5
1,10,1,6,55,7,10,4.5
10,4,1,6,58,7,12,4.3
9,6,1,7,1,7,23,4.5
6,1,2,7,2,7,11,4.2
3,8,1,7,3,7,15,3.5
5,7,1,7,4,7,16,4.3
6,1,1,7,4,7,13,4.2
9,6,1,7,4,7,26,4.5
3,5,1,7,5,7,15,7.3
6,1,2,7,6,7,15,4.2
6,3,1,7,7,7,19,4.2
10,9,1,7,7,7,28,5.8
6,1,1,7,9,7,18,4.2
6,3,1,7,9,7,21,4.2
10,9,1,7,9,7,30,5.8
6,1,1,7,11,7,20,4.2
6,7,1,7,13,7,28,5.1
9,6,1,7,13,7,35,4.5
3,9,1,7,14,7,31,3.9
4,10,1,7,14,7,28,4.0
7,4,1,7,17,7,26,3.2
6,1,1,7,19,7,28,4.2
7,4,1,7,20,7,29,3.2
7,4,1,7,21,7,30,3.2
6,1,1,7,22,7,31,4.2
9,1,1,7,23,7,41,5.8
1,9,1,7,26,7,44,7.1
2,4,1,7,26,7,34,3.3
10,9,1,7,27,7,48,5.8
5,3,1,7,30,7,40,4.6
6,1,1,7,30,7,39,4.2
6,9,1,7,30,7,52,6.6
6,1,1,7,31,7,40,4.2
6,1,1,7,33,7,42,4.2
3,9,1,7,35,7,52,3.9
8,2,1,7,35,7,47,5.0
5,3,1,7,38,7,48,4.6
6,1,1,7,38,7,47,4.2
6,9,1,7,38,8,0,6.6
6,1,1,7,39,7,48,4.2
6,7,1,7,39,7,54,5.1
9,6,1,7,39,8,1,4.5
5,7,1,7,40,7,52,4.3
6,1,1,7,40,7,49,4.2
6,9,1,7,40,8,2,6.6
6,9,1,7,45,8,7,6.6
6,7,1,7,47,8,2,5.1
3,8,1,7,48,8,0,3.5
6,7,2,7,48,8,2,5.1
7,1,1,7,48,7,57,4.1
8,2,1,7,48,7,60,5.0
10,9,1,7,49,8,10,5.8
3,9,1,7,53,8,10,3.9
6,2,1,7,53,8,6,4.9
9,6,1,7,53,8,15,4.5
8,2,1,7,54,8,6,5.0
8,3,1,7,57,8,9,4.4
6,1,1,7,59,8,8,4.2
10,9,1,7,59,8,20,5.8
5,3,1,8,0,8,10,5.6
6,1,2,8,0,8,9,4.7
6,3,1,8,0,8,12,4.9
2,4,1,8,1,8,9,4.6
7,4,1,8,1,8,10,4.3
5,3,2,8,2,8,12,5.6
7,4,1,8,2,8,11,4.3
5,3,1,8,3,8,13,5.6
5,7,1,8,3,8,15,5.0
3,4,1,8,4,8,13,4.7
6,1,1,8,4,8,13,4.7
7,4,1,8,4,8,13,4.3
3,1,1,8,5,8,13,4.7
5,3,1,8,5,8,15,5.6
7,4,1,8,5,8,14,4.3
8,2,1,8,5,8,17,5.4
9,6,1,8,5,8,27,6.5
9,7,1,8,5,8,19,5.0
10,9,1,8,5,8,26,7.1
3,4,1,8,6,8,15,4.7
5,3,1,8,6,8,16,5.6
6,7,1,8,6,8,20,6.0
8,4,1,8,6,8,20,5.2
2,1,1,8,7,8,16,5.0
2,4,1,8,7,8,15,4.6
5,3,2,8,7,8,17,5.6
6,1,3,8,7,8,16,4.7
6,2,1,8,7,8,20,5.5
7,1,1,8,7,8,16,4.7
5,1,1,8,8,8,18,5.4
5,3,1,8,8,8,18,5.6
6,1,1,8,8,8,17,4.7
10,9,1,8,8,8,29,7.1
3,4,1,8,9,8,18,4.7
9,6,1,8,9,8,31,6.5
3,4,1,8,10,8,19,4.7
8,1,1,8,10,8,24,5.5
3,9,1,8,11,8,28,4.5
5,3,1,8,11,8,21,5.6
2,1,1,8,12,8,21,5.0
3,9,1,8,12,8,29,4.5
5,3,1,8,12,8,22,5.6
6,7,1,8,12,8,26,6.0
7,4,1,8,12,8,21,4.3
8,1,1,8,12,8,26,5.5
2,1,1,8,13,8,22,5.0
3,4,1,8,13,8,22,4.7
3,4,1,8,14,8,23,4.7
5,3,1,8,14,8,24,5.6
6,2,1,8,14,8,27,5.5
8,3,1,8,14,8,26,5.3
5,3,1,8,15,8,25,5.6
6,2,1,8,15,8,28,5.5
8,1,1,8,15,8,29,5.5
8,4,1,8,15,8,28,5.2
10,9,1,8,15,8,36,7.1
3,4,1,8,16,8,25,4.7
5,3,2,8,16,8,26,5.6
6,7,1,8,16,8,30,6.0
7,4,1,8,16,8,25,4.3
8,4,1,8,16,8,30,5.2
5,3,2,8,17,8,27,5.6
8,4,1,8,17,8,30,5.2
8,5,1,8,17,8,32,5.3
9,3,1,8,17,8,34,4.4
2,1,1,8,18,8,27,5.0
5,3,1,8,18,8,28,5.6
8,5,1,8,18,8,34,5.3
9,1,1,8,18,8,36,7.7
1,9,1,8,19,8,37,9.0
2,4,1,8,19,8,27,4.6
3,4,1,8,19,8,28,4.7
6,3,2,8,19,8,31,4.9
3,1,1,8,20,8,28,4.7
5,3,2,8,20,8,30,5.6
6,9,1,8,20,8,42,6.9
