n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min,,,,,
5,9,1,6,17,6,36,19.2,,,,,
2,9,1,6,20,6,36,19.2,,,,,
2,9,1,6,28,6,44,19.2,,,,,
5,7,1,7,1,7,13,19.3,,,,,
3,9,1,7,24,7,41,18.9,,,,,
5,7,1,7,31,7,43,19.3,,,,,
2,5,1,7,54,8,4,22.6,,,,,
5,2,1,7,55,8,6,19.2,,,,,
5,3,1,8,1,8,11,20.6,,,,,
3,5,1,8,2,8,12,22,,,,,
5,3,2,8,4,8,14,20.6,,,,,
5,3,2,8,5,8,15,20.6,,,,,
5,3,3,8,6,8,16,20.6,,,,,
5,3,1,8,8,8,18,20.6,,,,,
2,5,1,8,9,8,20,24.9,,,,,
5,3,2,8,11,8,21,20.6,,,,,
5,3,3,8,13,8,23,20.6,,,,,
3,5,1,8,16,8,26,22,,,,,
5,3,1,8,17,8,27,20.6,,,,,
3,9,1,8,18,8,35,19.5,,,,,
5,3,1,8,20,8,30,20.6,,,,,
9,7,1,8,20,8,34,20,,,,,
5,3,1,8,22,8,32,20.6,,,,,
9,7,1,8,22,8,36,20,,,,,
5,3,1,8,23,8,33,20.6,,,,,
5,2,1,8,24,8,34,20.1,,,,,
5,3,2,8,26,8,36,20.6,,,,,
3,9,1,8,27,8,44,19.5,,,,,
5,3,3,8,27,8,37,20.6,,,,,
3,9,1,8,29,8,46,19.5,,,,,
3,9,1,8,31,8,48,19.5,,,,,
3,9,1,8,32,8,49,19.5,,,,,
7,5,1,8,32,8,44,21.9,,,,,
5,2,1,8,34,8,44,20.1,,,,,
5,3,3,8,36,8,46,20.6,,,,,
5,3,2,8,37,8,47,20.6,,,,,
5,3,1,8,39,8,49,20.6,,,,,
5,2,2,8,41,8,52,20.1,,,,,
9,7,1,8,42,8,56,20,,,,,
3,9,1,8,43,8,60,19.5,,,,,
5,7,1,8,46,8,58,20,,,,,
9,7,1,8,47,9,1,20,,,,,
3,9,1,8,48,9,5,19.5,,,,,
3,5,1,8,49,8,59,22,,,,,
5,3,1,8,50,8,60,20.6,,,,,
5,3,2,8,51,9,1,20.6,,,,,
5,3,1,8,53,9,3,20.6,,,,,
3,9,1,8,55,9,12,19.5,,,,,
5,3,2,8,55,9,5,20.6,,,,,
9,7,1,8,56,9,10,20,,,,,
5,3,1,8,57,9,7,20.6,,,,,
9,2,1,8,58,9,14,21.1,,,,,
5,3,1,8,59,9,9,20.6,,,,,
5,7,1,9,6,9,18,20.1,,,,,
9,7,1,9,11,9,25,20.1,,,,,
5,2,1,9,12,9,22,19.7,,,,,
9,2,1,9,16,9,32,20.8,,,,,
5,7,1,9,19,9,31,20.1,,,,,
5,3,1,9,23,9,33,20.2,,,,,
9,7,1,9,25,9,39,20.1,,,,,
3,9,1,9,28,9,45,21.2,,,,,
9,7,1,9,28,9,42,20.1,,,,,
9,7,1,9,41,9,55,20.1,,,,,
5,3,1,9,43,9,53,20.2,,,,,
5,3,1,9,45,9,55,20.2,,,,,
5,7,1,9,45,9,57,20.1,,,,,
5,3,1,9,46,9,56,20.2,,,,,
5,7,1,9,55,10,7,20.1,,,,,
5,7,1,9,57,10,9,20.1,,,,,
3,9,1,10,0,10,17,19.9,,,,,
2,5,1,10,1,10,12,20.6,,,,,
3,5,1,10,2,10,12,21,,,,,
5,7,1,10,2,10,14,19.6,,,,,
5,9,1,10,4,10,23,20.8,,,,,
2,5,1,10,5,10,16,20.6,,,,,
3,5,1,10,7,10,17,21,,,,,
5,2,1,10,8,10,18,19.8,,,,,
7,9,1,10,8,10,22,19.3,,,,,
9,5,1,10,8,10,27,20.3,,,,,
2,5,1,10,9,10,20,20.6,,,,,
3,5,1,10,9,10,19,21,,,,,
2,5,1,10,10,10,20,20.6,,,,,
3,5,1,10,11,10,21,21,,,,,
9,2,1,10,11,10,27,19.8,,,,,
3,5,1,10,15,10,25,21,,,,,
7,5,1,10,16,10,28,21.1,,,,,
